code,science,sc_code,sphere,occupation
"42","Инженерное дело; технологии и технические науки","08.01.11","Машинист машин и оборудования в производстве цемента","Машинист (обжигальщик) шахтных печей"
"43","Инженерное дело; технологии и технические науки","08.01.11","Машинист машин и оборудования в производстве цемента","Машинист сырьевых мельниц"
"44","Инженерное дело; технологии и технические науки","08.01.11","Машинист машин и оборудования в производстве цемента","Машинист угольных мельниц"
"45","Инженерное дело; технологии и технические науки","08.01.11","Машинист машин и оборудования в производстве цемента","Машинист цементных мельниц"
"46","Инженерное дело; технологии и технические науки","08.01.12","Оператор технологического оборудования в производстве стеновых и вяжущих материалов","Оператор пульта управления оборудованием в производстве строительных изделий"
"47","Инженерное дело; технологии и технические науки","08.01.13","Изготовитель железобетонных изделий","Машинист формовочного агрегата"
"48","Инженерное дело; технологии и технические науки","08.01.13","Изготовитель железобетонных изделий","Моторист бетоносмесительных установок"
"49","Инженерное дело; технологии и технические науки","08.01.13","Изготовитель железобетонных изделий","Формовщик изделий; конструкций и строительных материалов"
"50","Инженерное дело; технологии и технические науки","08.01.13","Изготовитель железобетонных изделий","Прессовщик строительных изделий"
"51","Инженерное дело; технологии и технические науки","08.01.14","Монтажник санитарно-технических; вентиляционных систем и оборудования","Монтажник санитарно-технических систем и оборудования"
"52","Инженерное дело; технологии и технические науки","08.01.14","Монтажник санитарно-технических; вентиляционных систем и оборудования","Монтажник систем вентиляции; кондиционирования воздуха; пневмотранспорта и аспирации"
"53","Инженерное дело; технологии и технические науки","08.01.14","Монтажник санитарно-технических; вентиляционных систем и оборудования","Электрогазосварщик"
"54","Инженерное дело; технологии и технические науки","08.01.15","Слесарь по изготовлению деталей и узлов технических систем в строительстве","Слесарь по изготовлению узлов и деталей санитарно-технических систем"
"55","Инженерное дело; технологии и технические науки","08.01.15","Слесарь по изготовлению деталей и узлов технических систем в строительстве","Слесарь по изготовлению деталей и узлов систем вентиляции; кондиционирования воздуха; пневмотранспорта и аспирации"
"56","Инженерное дело; технологии и технические науки","08.01.15","Слесарь по изготовлению деталей и узлов технических систем в строительстве","Слесарь по изготовлению узлов и деталей технологических трубопроводов"
"57","Инженерное дело; технологии и технические науки","08.01.16","Электромонтажник по сигнализации; централизации и блокировке","Электромонтажник по сигнализации; централизации и блокировке"
"58","Инженерное дело; технологии и технические науки","08.01.17","Электромонтажник-наладчик","Электромонтажник-наладчик"
"59","Инженерное дело; технологии и технические науки","08.01.18","Электромонтажник электрических сетей и электрооборудования","Электромонтажник по распределительным устройствам и вторичным цепям"
"60","Инженерное дело; технологии и технические науки","08.01.18","Электромонтажник электрических сетей и электрооборудования","Электромонтажник по кабельным сетям"
"61","Инженерное дело; технологии и технические науки","08.01.18","Электромонтажник электрических сетей и электрооборудования","Электромонтажник по освещению и осветительным сетям"
"62","Инженерное дело; технологии и технические науки","08.01.19","Электромонтажник по силовым сетям и электрооборудованию","Электромонтажник по силовым сетям и электрооборудованию"
"63","Инженерное дело; технологии и технические науки","08.01.20","Электромонтажник по электрическим машинам","Электромонтажник по электрическим машинам"
"64","Инженерное дело; технологии и технические науки","08.01.21","Монтажник электрических подъемников (лифтов)","Монтажник электрических подъемников (лифтов)"
"65","Инженерное дело; технологии и технические науки","08.01.22","Мастер путевых машин","Наладчик железнодорожно-строительных машин и механизмов"
"66","Инженерное дело; технологии и технические науки","08.01.22","Мастер путевых машин","Оператор дефектоскопной тележки"
"67","Инженерное дело; технологии и технические науки","08.01.22","Мастер путевых машин","Слесарь по ремонту путевых машин и механизмов"
"68","Инженерное дело; технологии и технические науки","08.01.23","Бригадир-путеец","Монтер пути"
"69","Инженерное дело; технологии и технические науки","08.01.23","Бригадир-путеец","Обходчик пути и искусственных сооружений"
"70","Инженерное дело; технологии и технические науки","08.01.23","Бригадир-путеец","Сигналист"
"71","Инженерное дело; технологии и технические науки","08.01.23","Бригадир-путеец","Ремонтник искусственных сооружений"
"72","Инженерное дело; технологии и технические науки","08.01.24","Мастер столярно-плотничных; паркетных и стекольных работ","Столяр строительный"
"73","Инженерное дело; технологии и технические науки","08.01.24","Мастер столярно-плотничных; паркетных и стекольных работ","Плотник"
"74","Инженерное дело; технологии и технические науки","08.01.24","Мастер столярно-плотничных; паркетных и стекольных работ","Стекольщик"
"75","Инженерное дело; технологии и технические науки","08.01.24","Мастер столярно-плотничных; паркетных и стекольных работ","Паркетчик"
"76","Инженерное дело; технологии и технические науки","08.01.25","Мастер отделочных строительных и декоративных работ","Маляр строительный"
"77","Инженерное дело; технологии и технические науки","08.01.25","Мастер отделочных строительных и декоративных работ","Монтажник каркасно-обшивных конструкций"
"78","Инженерное дело; технологии и технические науки","08.01.25","Мастер отделочных строительных и декоративных работ","Облицовщик-плиточник"
"79","Инженерное дело; технологии и технические науки","08.01.25","Мастер отделочных строительных и декоративных работ","Облицовщик-мозаичник"
"80","Инженерное дело; технологии и технические науки","08.01.25","Мастер отделочных строительных и декоративных работ","Штукатур"
"81","Инженерное дело; технологии и технические науки","08.01.26","Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства","Слесарь-сантехник"
"82","Инженерное дело; технологии и технические науки","08.01.26","Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства","Электромонтажник по освещению и осветительным сетям"
"84","Инженерное дело; технологии и технические науки","09.01.01","Наладчик аппаратного и программного обеспечения","Наладчик технологического оборудования"
"85","Инженерное дело; технологии и технические науки","09.01.02","Наладчик компьютерных сетей","Наладчик технологического оборудования"
"86","Инженерное дело; технологии и технические науки","09.01.03","Мастер по обработке цифровой информации","Оператор электронно-вычислительных и вычислительных машин"
"88","Инженерное дело; технологии и технические науки","11.01.01","Монтажник радиоэлектронной аппаратуры и приборов","Контролер радиоэлектронной аппаратуры и приборов"
"89","Инженерное дело; технологии и технические науки","11.01.01","Монтажник радиоэлектронной аппаратуры и приборов","Монтажник радиоэлектронной аппаратуры и приборов"
"90","Инженерное дело; технологии и технические науки","11.01.01","Монтажник радиоэлектронной аппаратуры и приборов","Регулировщик радиоэлектронной аппаратуры и приборов"
"91","Инженерное дело; технологии и технические науки","11.01.01","Монтажник радиоэлектронной аппаратуры и приборов","Слесарь-сборщик радиоэлектронной аппаратуры и приборов"
"92","Инженерное дело; технологии и технические науки","11.01.01","Монтажник радиоэлектронной аппаратуры и приборов","Слесарь-механик по радиоэлектронной аппаратуре"
"93","Инженерное дело; технологии и технические науки","11.01.02","Радиомеханик","Радиомеханик по обслуживанию и ремонту радиотелевизионной аппаратуры"
"94","Инженерное дело; технологии и технические науки","11.01.02","Радиомеханик","Радиомонтер приемных телевизионных антенн"
"95","Инженерное дело; технологии и технические науки","11.01.02","Радиомеханик","Радиомеханик по ремонту радиоэлектронного оборудования"
"96","Инженерное дело; технологии и технические науки","11.01.03","Радиооператор","Радиооператор"
"97","Инженерное дело; технологии и технические науки","11.01.04","Монтажник оборудования радио- и телефонной связи","Монтажник оборудования связи"
"98","Инженерное дело; технологии и технические науки","11.01.04","Монтажник оборудования радио- и телефонной связи","Радиомонтер приемных телевизионных антенн"
"99","Инженерное дело; технологии и технические науки","11.01.05","Монтажник связи","Монтажник связи - антенщик"
"100","Инженерное дело; технологии и технические науки","11.01.05","Монтажник связи","Монтажник связи - кабельщик"
"101","Инженерное дело; технологии и технические науки","11.01.05","Монтажник связи","Монтажник связи - линейщик"
"102","Инженерное дело; технологии и технические науки","11.01.05","Монтажник связи","Монтажник связи - спайщик"
"103","Инженерное дело; технологии и технические науки","11.01.06","Электромонтер оборудования электросвязи и проводного вещания","Электромонтер станционного оборудования радиофикации"
"104","Инженерное дело; технологии и технические науки","11.01.06","Электромонтер оборудования электросвязи и проводного вещания","Электромонтер станционного оборудования телеграфной связи"
"105","Инженерное дело; технологии и технические науки","11.01.06","Электромонтер оборудования электросвязи и проводного вещания","Электромонтер станционного оборудования телефонной связи"
"106","Инженерное дело; технологии и технические науки","11.01.07","Электромонтер по ремонту линейно-кабельных сооружений телефонной связи и проводного вещания","Кабельщик-спайщик"
"107","Инженерное дело; технологии и технические науки","11.01.07","Электромонтер по ремонту линейно-кабельных сооружений телефонной связи и проводного вещания","Электромонтер линейных сооружений телефонной связи и радиофикации"
"108","Инженерное дело; технологии и технические науки","11.01.08","Оператор связи","Оператор связи"
"109","Инженерное дело; технологии и технические науки","11.01.09","Оператор микроэлектронного производства","Оператор вакуумно-напылительных процессов"
"110","Инженерное дело; технологии и технические науки","11.01.09","Оператор микроэлектронного производства","Оператор диффузионных процессов"
"111","Инженерное дело; технологии и технические науки","11.01.09","Оператор микроэлектронного производства","Оператор по наращиванию эпитаксиальных слоев"
"112","Инженерное дело; технологии и технические науки","11.01.09","Оператор микроэлектронного производства","Оператор прецизионной фотолитографии"
"113","Инженерное дело; технологии и технические науки","11.01.10","Оператор оборудования элионных процессов","Оператор плазмохимических процессов"
"114","Инженерное дело; технологии и технические науки","11.01.10","Оператор оборудования элионных процессов","Оператор элионных процессов"
"115","Инженерное дело; технологии и технические науки","11.01.11","Наладчик технологического оборудования (электронная техника)","Наладчик-монтажник испытательного оборудования"
"116","Инженерное дело; технологии и технические науки","11.01.11","Наладчик технологического оборудования (электронная техника)","Наладчик технологического оборудования"
"117","Инженерное дело; технологии и технические науки","11.01.12","Сборщик изделий электронной техники","Контролер деталей и приборов"
"118","Инженерное дело; технологии и технические науки","11.01.12","Сборщик изделий электронной техники","Оператор микросварки"
"119","Инженерное дело; технологии и технические науки","11.01.12","Сборщик изделий электронной техники","Сборщик изделий электронной техники"
"120","Инженерное дело; технологии и технические науки","11.01.12","Сборщик изделий электронной техники","Сборщик микросхем"
"121","Инженерное дело; технологии и технические науки","11.01.12","Сборщик изделий электронной техники","Сборщик полупроводниковых приборов"
"122","Инженерное дело; технологии и технические науки","11.01.13","Сборщик приборов вакуумной электроники","Монтажник электровакуумных приборов"
"123","Инженерное дело; технологии и технические науки","11.01.13","Сборщик приборов вакуумной электроники","Сборщик-монтажник в производстве цветных кинескопов"
"125","Инженерное дело; технологии и технические науки","12.01.01","Наладчик оборудования оптического производства","Наладчик оборудования оптического производства"
"126","Инженерное дело; технологии и технические науки","12.01.02","Оптик-механик","Контролер оптических деталей и приборов"
"127","Инженерное дело; технологии и технические науки","12.01.02","Оптик-механик","Оптик"
"128","Инженерное дело; технологии и технические науки","12.01.02","Оптик-механик","Оптик-механик"
"129","Инженерное дело; технологии и технические науки","12.01.02","Оптик-механик","Оператор вакуумных установок по нанесению покрытий на оптические детали"
"130","Инженерное дело; технологии и технические науки","12.01.03","Сборщик очков","Сборщик очков"
"131","Инженерное дело; технологии и технические науки","12.01.04","Электромеханик по ремонту и обслуживанию наркозно-дыхательной аппаратуры","Электромеханик по ремонту и обслуживанию наркозно-дыхательной аппаратуры"
"132","Инженерное дело; технологии и технические науки","12.01.05","Электромеханик по ремонту и обслуживанию медицинского оборудования","Электромеханик по ремонту и обслуживанию медицинского оборудования"
"133","Инженерное дело; технологии и технические науки","12.01.06","Электромеханик по ремонту и обслуживанию медицинских оптических приборов","Электромеханик по ремонту и обслуживанию медицинских оптических приборов"
"134","Инженерное дело; технологии и технические науки","12.01.07","Электромеханик по ремонту и обслуживанию электронной медицинской аппаратуры","Электромеханик по ремонту и обслуживанию электронной медицинской аппаратуры"
"135","Инженерное дело; технологии и технические науки","12.01.08","Механик протезно-ортопедических изделий","Механик протезно-ортопедических изделий"
"136","Инженерное дело; технологии и технические науки","12.01.09","Мастер по изготовлению и сборке деталей и узлов оптических и оптико-электронных приборов и систем","Контролер оптических деталей и приборов"
"137","Инженерное дело; технологии и технические науки","12.01.09","Мастер по изготовлению и сборке деталей и узлов оптических и оптико-электронных приборов и систем","Оптик"
"138","Инженерное дело; технологии и технические науки","12.01.09","Мастер по изготовлению и сборке деталей и узлов оптических и оптико-электронных приборов и систем","Оптик-механик"
"139","Инженерное дело; технологии и технические науки","12.01.09","Мастер по изготовлению и сборке деталей и узлов оптических и оптико-электронных приборов и систем","Оператор вакуумных установок по нанесению покрытий на оптические детали"
"141","Инженерное дело; технологии и технические науки","13.01.01","Машинист котлов","Машинист блочной системы управления агрегатами (котел-турбина)"
"142","Инженерное дело; технологии и технические науки","13.01.01","Машинист котлов","Машинист котлов"
"143","Инженерное дело; технологии и технические науки","13.01.01","Машинист котлов","Машинист-обходчик по котельному оборудованию"
"144","Инженерное дело; технологии и технические науки","13.01.02","Машинист паровых турбин","Машинист газотурбинных установок"
"145","Инженерное дело; технологии и технические науки","13.01.02","Машинист паровых турбин","Машинист-обходчик по турбинному оборудованию"
"146","Инженерное дело; технологии и технические науки","13.01.02","Машинист паровых турбин","Машинист паровых турбин"
"147","Инженерное дело; технологии и технические науки","13.01.02","Машинист паровых турбин","Слесарь по обслуживанию оборудования электростанций"
"148","Инженерное дело; технологии и технические науки","13.01.03","Электрослесарь по ремонту оборудования электростанций","Электрослесарь по ремонту и обслуживанию автоматики и средств измерений электростанций"
"149","Инженерное дело; технологии и технические науки","13.01.03","Электрослесарь по ремонту оборудования электростанций","Электрослесарь по ремонту оборудования распределительных устройств"
"150","Инженерное дело; технологии и технические науки","13.01.03","Электрослесарь по ремонту оборудования электростанций","Электрослесарь по ремонту электрических машин"
"151","Инженерное дело; технологии и технические науки","13.01.03","Электрослесарь по ремонту оборудования электростанций","Электрослесарь по ремонту электрооборудования электростанций"
"152","Инженерное дело; технологии и технические науки","13.01.03","Электрослесарь по ремонту оборудования электростанций","Слесарь по ремонту оборудования топливоподачи"
"153","Инженерное дело; технологии и технические науки","13.01.04","Слесарь по ремонту оборудования электростанций","Слесарь по ремонту оборудования тепловых сетей"
"154","Инженерное дело; технологии и технические науки","13.01.04","Слесарь по ремонту оборудования электростанций","Слесарь по ремонту оборудования котельных и пылеприготовительных цехов"
"155","Инженерное дело; технологии и технические науки","13.01.04","Слесарь по ремонту оборудования электростанций","Слесарь по ремонту парогазотурбинного оборудования"
"156","Инженерное дело; технологии и технические науки","13.01.05","Электромонтер по техническому обслуживанию электростанций и сетей","Электромонтер оперативно-выездной бригады"
"157","Инженерное дело; технологии и технические науки","13.01.05","Электромонтер по техническому обслуживанию электростанций и сетей","Электромонтер по обслуживанию подстанций"
"158","Инженерное дело; технологии и технические науки","13.01.05","Электромонтер по техническому обслуживанию электростанций и сетей","Электромонтер по обслуживанию электрооборудования электростанций"
"159","Инженерное дело; технологии и технические науки","13.01.05","Электромонтер по техническому обслуживанию электростанций и сетей","Электромонтер по эксплуатации распределительных сетей"
"160","Инженерное дело; технологии и технические науки","13.01.05","Электромонтер по техническому обслуживанию электростанций и сетей","Электрослесарь по обслуживанию автоматики и средств измерений электростанций"
"161","Инженерное дело; технологии и технические науки","13.01.06","Электромонтер-линейщик по монтажу воздушных линий высокого напряжения и контактной сети","Электромонтер-линейщик по монтажу воздушных линий высокого напряжения и контактной сети"
"162","Инженерное дело; технологии и технические науки","13.01.07","Электромонтер по ремонту электросетей","Электромонтер по ремонту аппаратуры релейной защиты и автоматики"
"163","Инженерное дело; технологии и технические науки","13.01.07","Электромонтер по ремонту электросетей","Электромонтер по ремонту воздушных линий электропередачи"
"164","Инженерное дело; технологии и технические науки","13.01.07","Электромонтер по ремонту электросетей","Электромонтер по ремонту вторичной коммутации и связи"
"165","Инженерное дело; технологии и технические науки","13.01.07","Электромонтер по ремонту электросетей","Электромонтер по ремонту и монтажу кабельных линий"
"166","Инженерное дело; технологии и технические науки","13.01.08","Сборщик трансформаторов","Сборщик трансформаторов"
"167","Инженерное дело; технологии и технические науки","13.01.08","Сборщик трансформаторов","Сборщик сердечников трансформаторов"
"168","Инженерное дело; технологии и технические науки","13.01.09","Сборщик электрических машин и аппаратов","Испытатель электрических машин; аппаратов и приборов"
"169","Инженерное дело; технологии и технические науки","13.01.09","Сборщик электрических машин и аппаратов","Контролер сборки электрических машин; аппаратов и приборов"
"170","Инженерное дело; технологии и технические науки","13.01.09","Сборщик электрических машин и аппаратов","Обмотчик элементов электрических машин"
"171","Инженерное дело; технологии и технические науки","13.01.09","Сборщик электрических машин и аппаратов","Сборщик электрических машин и аппаратов"
"172","Инженерное дело; технологии и технические науки","13.01.10","Электромонтер по ремонту и обслуживанию электрооборудования (по отраслям)","Электромонтер по ремонту и обслуживанию электрооборудования"
"173","Инженерное дело; технологии и технические науки","13.01.11","Электромеханик по испытанию и ремонту электрооборудования летательных аппаратов","Электромеханик по испытанию и ремонту электрооборудования"
"174","Инженерное дело; технологии и технические науки","13.01.12","Сборщик электроизмерительных приборов","Сборщик электроизмерительных приборов"
"175","Инженерное дело; технологии и технические науки","13.01.13","Электромонтажник-схемщик","Электромонтажник-схемщик"
